ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey
51,twLlb,1C. Desktop light · Start,r3iXr,Reference status glyph,#219,1C. Desktop light · Start > Shared project navigation > Single-project sessions > Shared parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,twLlb/Plpq2/S8Te1i/gSVoo/dcZPW/CtBMx/ynL0t/F88dJ/HPxph/zfD1m,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
52,twLlb,1C. Desktop light · Start,tZRqN,New task icon,Global settings,1C. Desktop light · Start > Shared project navigation > Global settings navigation,twLlb/Plpq2/Zbj5V,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e
53,twLlb,1C. Desktop light · Start,a8CdMw,Local execution,Your agents. Your machine.,1C. Desktop light · Start > Shared project navigation > Local workspace status,twLlb/Plpq2/EBZYk,lucide,monitor,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-monitor-8d25db114b57.svg,lucide/monitor/8d25db114b57
54,twLlb,1C. Desktop light · Start,afg6q,Project folder,iac / New task Isolated worktree,1C. Desktop light · Start > Main workspace > Workspace header,twLlb/u1ulx/N6wXv,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68
55,twLlb,1C. Desktop light · Start,wNg1i,Isolated worktree indicator,iac / New task Isolated worktree,1C. Desktop light · Start > Main workspace > Workspace header,twLlb/u1ulx/N6wXv,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#6D28D9,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94
56,twLlb,1C. Desktop light · Start,m25FR,Slash command,Type / for a skill or workflow,1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Input hint,twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/cDZVA,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883
57,twLlb,1C. Desktop light · Start,r0CYF,Attach,,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Attach files button",twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/GXM9H/xMQH6,lucide,paperclip,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-paperclip-1bc12a1c61d4.svg,lucide/paperclip/1bc12a1c61d4
58,twLlb,1C. Desktop light · Start,Xkk0G,Template icon,Template,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Template",twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/GXM9H/ujHJT,lucide,notebook-pen,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-notebook-pen-964a1935b419.svg,lucide/notebook-pen/964a1935b419
59,twLlb,1C. Desktop light · Start,dwyYQ,Open template picker,Template,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Template",twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/GXM9H/ujHJT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
60,twLlb,1C. Desktop light · Start,sgNfD,Skills,Skill,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Add skill or workflow",twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/GXM9H/w9J4Js,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a
61,twLlb,1C. Desktop light · Start,t6t2zC,Open skill picker,Skill,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Add skill or workflow",twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/GXM9H/w9J4Js,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
62,twLlb,1C. Desktop light · Start,a8ivUy,Dictate icon,,"1C. Desktop light · Start > Main workspace > New task workspace > Editor and execution columns > Task composer > Task input card > Attach, template, skill and dictation > Dictate",twLlb/u1ulx/DlkCe/P9B3FM/U3pw6/Ur2gc/GXM9H/t3JzB,lucide,mic,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-mic-47006fc57172.svg,lucide/mic/47006fc57172
